00050002;05000001;001030706;005080603;006;000907;000400039;40061;800005
00165;0000403;006007002;01000005;0080004;905000607;000090201;080402;007
0008005;503007;01096;0800006;070000008;19060005;00000407;002000831;000000002
070400009;00500008;900000002;609004;05;20090301;4005003;000806047;0207
04000267;;20050803;09307;008;7569;00000406;807000004;00083
900057;000003;00400021;630500007;00070002;0000904;006;05004;000010703
30008;0000009;06010005;010060023;09;000020407;000206308;007;005
060102;20050008;;00000504;100800003;000900006;0893;4000607;0060509
040000003;0010005;030600901;;4607;000006082;0008013;20000047;60009
00004;00810036;40009;140000007;00500908;000000006;8000004;70000009;0000235
700000403;009;86001007;090003004;00700008;00020005;00309;018;5000041
00000098;0040005;03027;0000001;6;05094002;00000849;005029006;0075
006000071;0952;100054009;0070003;000001;00059;41;00070003;000009604
400000009;006;700509068;07089;000000026;04302;0300004;00001;801002
004006;07;00010097;9206;8;00000104;008000005;090860002;00020501
070000004;04009305;0108;900000802;000000006;000705;00008004;00000218;06003
10008;00070003;0490002;00000031;008;5209;030008;2905007;050040001
500008001;0004;000730092;08;70090034;000102;020000006;806;090070005
09106005;07000001;08003;1006004;300090002;000000009;065001;0000092;00000008
000709;006;070060204;81000007;030100095;000005002;90000068;000308;000050007
054003007;00010009;109007;0356;0000853;0000002;80000047;00002008;9
00009;059800003;01300007;0054;00000605;80007;008300609;000001;072
000000002;0080207;0056;0500103;000038;020000004;0000005;41007;003400089
6;0057018;0900001;200000006;050009003;040002;30001;0009005;002000074
006098;09050001;00007;400000003;0294;000005028;603;0700031;000000085
000000008;00010904;4200005;001000005;0000602;0000307;01060002;00308;0965
000000603;00000609;0084;00350006;000700008;9000042;0200078;040000005;09062
000040006;0109005;006000009;50008;03;0700023;001803002;20000601;704001
00000689;00000007;030905;06003;50000074;;0946;010004;800070005
00000009;0080503;0000087;030407;00700312;;9003006;2005;0000268
03000007;200000004;04093;800400002;000718;60000009;0000605;0003;016040008
400000006;032000009;00001004;00070009;510003;000000602;02004;705;00803015
4;00000164;0830009;0000407;000200005;200006003;090050081;0053;000804
139;0040206;05;600003008;000010004;000005002;0827;00006004;000000307
0015706;00690002;008;060008072;700000006;0900005;0003509;040100003;00000005
008;05000103;907008;03000004;605000001;000900075;0805;100000802;0000309
050004807;0006;40001;002093;007802;00000002;00196;080000016;3000704
00005607;0079;50000004;20000009;030000567;0061008;08;000005604;0000941
000700083;002006;0090002;0200007;00008001;00000305;700009034;00503;800005
789;0104;00362;30706001;00620008;0005;000000504;001;000030006
0000061;008002;000500902;030700004;;06200008;005203;004100509;0000907
000006;500100803;90200007;00005;001704006;008000009;00086;0004006;300000042
0003046;00001027;0005;070040002;041;00620003;00007019;60000004;103
3017;002080005;900000402;0000005;50000904;0700081;;000010003;00803407
000020001;00000085;00030094;001002;30094;6271;00000001;00049;208003006
420009;000050001;00000086;0007801;6;59;0075003;000003;960001
8013;00000046;0000012;700003006;003;00000207;09082004;105;006007
00360021;200009;006;10400205;000070001;00000003;00002;017000605;8009007
0450009;00000078;000064;0001003;003800006;0000291;06007509;01;002
020040005;00007301;007006008;2008005;0400003;00001;0057;0000004;001900006
080500007;;6048;00000002;009;8509073;34001;00206;000400506
90000805;40005003;30000007;0000009;00506401;1073002;006;;020005004
00001;1040096;570000002;9058;60000215;000900003;000000007;00000502;028
0500002;008600001;9000005;00002307;200980003;00040005;6000004;030206;00100008
